name,the_geom
C&A,POINT (212047.18807239598 6090582.010630523)
Casa Orléans,POINT (212042.84661225503 6090567.398288727)
Délices d'Artisan,POINT (30275.172292828836 6109223.391753884)
Maison Métivier,POINT (30320.635172868806 6109168.409969656)
Droguerie centrale Morette,POINT (211972.58174966634 6090220.843994667)
Paul Marius,POINT (212035.3770744228 6090201.76573222)
Liger Homme,POINT (211973.8396599123 6090262.00602976)
Mangas,POINT (211970.25517230874 6090255.131839959)
Hipparion,POINT (211970.90082535538 6090245.152651508)
Boucherie Lievre,POINT (483795.07471697 5806750.19577155)
Saveurs et traditions,POINT (483883.7518233359 5806737.658900429)
Proxi,POINT (483805.52761715546 5806741.243157923)
Chevreton,POINT (483752.6731229268 5806805.438580778)
,POINT (484220.52667883283 5807317.395273579)
Coiffure Béa,POINT (483782.5401423066 5806757.95899681)
Tabac Presse Bruel,POINT (483858.6492781621 5806744.12020871)
Proxi,POINT (713844.7506529125 5740790.521599805)
AJA,POINT (674723.6084200434 6234903.452151553)
CDN,POINT (673575.6484351358 6236475.399037402)
Reflex Bleu,POINT (674780.6819229731 6235410.141475576)
Intermarché Drive,POINT (721505.7779111293 5834301.278179564)
Esprit Vélo 50,POINT (-127115.29830670201 6293171.380696902)
,POINT (-129398.71741739164 5735516.481393408)
Amé Styles,POINT (117103.613538449 6368118.167757413)
,POINT (214749.8805935186 6094600.168209597)
Picard,POINT (155356.0230657632 5407286.812442077)
Mephisto,POINT (160942.780954358 5403810.932770693)
LED3,POINT (581021.3645401791 5386551.420220035)
,POINT (261888.28267876545 6211209.465473587)
Pomente,POINT (8560.791668526039 5400062.381810356)
Søstrene Grene,POINT (212190.52304874142 6090472.020158868)
Librairie Nouvelle d'Orléans,POINT (212206.15230524878 6090440.770103456)
,POINT (599489.4771581646 5611999.050464129)
Flore'Idées,POINT (-396737.6446781923 6235807.009016894)
,POINT (-396771.3856158517 6235845.821896111)
Garage Ollivier,POINT (-396227.6678269701 6235703.694659725)
Le Parc,POINT (-391572.5538887733 6236315.407628173)
Atout Poil,POINT (-391550.6796088324 6236276.423692302)
L'institut,POINT (-391591.58952169894 6236310.880888124)
Carrefour City,POINT (-391684.1405463445 6236364.458727558)
Garage Geffroy,POINT (-394267.4651774895 6234558.639695399)
Garage AD,POINT (-398234.4354194495 6236017.50936938)
A Panattaria,POINT (991768.8096259335 5112688.064899927)
Coiff' Mod,POINT (30278.289238571044 5872288.832733216)
Carrefour Contact,POINT (30288.61968731666 5872345.07087941)
Alti Monti,POINT (974960.6240513116 5152583.198980492)
Polène,POINT (257237.36875577265 6252770.111430205)
Librairie du Milieu,POINT (619341.2377986162 5913891.080958605)
Garage Clean Wash Auto,POINT (-86651.39846548512 6325507.414574696)
Au Rucher de la baie de Somme,POINT (181041.85955063728 6483642.319733372)
,POINT (614698.6027753373 5357925.447987361)
Mondial Saveur,POINT (543876.0295377487 5736633.017233105)
La boucle dorée,POINT (212096.8810930861 6090366.464503384)
Mas de Fontcouverte,POINT (480061.75295423606 5509018.478641184)
Cave Coopérative de Barjac,POINT (483104.9495337971 5513468.499748091)
La Truffe Noire,POINT (258724.01829141862 6244921.562192676)
Midi-Minuit,POINT (212586.27497046057 6090101.626304075)
Laurette & Marinette,POINT (537594.638026604 5744323.395955809)
La Fabrique de Justine,POINT (539394.9970192545 5740512.641222997)
Le 20 - Barber Shop,POINT (537972.8682604722 5744452.818275464)
VK,POINT (539283.4214936324 5743069.250865124)
Girasole,POINT (524687.443631749 5757745.826360732)
Carrefour Market,POINT (522739.3191470195 6444591.725971478)
,POINT (39199.93416845256 5873985.187376285)
Sexo 2000,POINT (38399.836460324994 5873253.853466769)
Tabac Presse Loto Le Pont Joubert,POINT (39263.39741015381 5873959.063210272)
Makossa Cosmétics,POINT (38164.284417806426 5874319.155974206)
Vidal,POINT (39209.89726287856 5873994.451513343)
Agence Anatole France,POINT (38722.29562930587 5873315.523049406)
De fil en aiguille,POINT (39141.83652620756 5874021.725707849)
AGMI Informatique,POINT (38900.7296410984 5873381.0150656495)
Intermarché,POINT (274789.8667169501 6140034.820815162)
Provisions,POINT (599866.1043913654 5355900.481234517)
L'Urticeddu,POINT (991608.3930670101 5148731.534283151)
,POINT (259063.52047443995 6110857.280348566)
Le Balto,POINT (247786.91171682678 6231331.933255646)
CocciMarket,POINT (-100412.63060262264 6331556.465132306)
Carrefour Market,POINT (9293.852779297904 6361522.144095209)
,POINT (182980.21073670866 6433842.300709011)
ALDI,POINT (805064.168876003 5442952.079542645)
La ferme en colis,POINT (-61883.06859740572 5831374.282736742)
La Ferme de la Guilbardière,POINT (142297.01551684987 6017605.47811214)
L'O de Chris,POINT (308803.5822622911 6396074.506395617)
Elégance coiffure,POINT (308796.7101981675 6396136.702599788)
Eni,POINT (798588.0488531814 5412457.555056576)
La Fleur de Lys,POINT (780381.9242451269 6023965.626802877)
V and B,POINT (538851.6911124887 5484098.205096605)
Garage Kern,POINT (830244.881409769 6213428.704267693)
GiFi,POINT (250819.6999239987 6261790.349532557)
Graine d'idée,POINT (638450.9093175926 5634095.583194155)
Boucherie du Pavillon,POINT (638439.877556055 5634122.888094141)
Oh! Chéri,POINT (-121084.36973396504 5723334.3998412145)
Souvenir Charentais,POINT (-121183.8114350907 5723305.675402066)
Le Comptoir,POINT (-121091.51644527398 5723312.442514934)
Clin d'œil,POINT (-121148.95730252333 5723287.651022957)
Bijor K,POINT (-121088.07667300847 5723320.0216874415)
La Pipe de Bois,POINT (212228.17130052767 6090212.276205774)
Taillanderie Alexis,POINT (212337.00836667625 6090147.088231165)
Fisher Compagnons,POINT (-187204.87447214022 6126621.417458397)
Cour des matériaux Leroy Merlin,POINT (145773.76109394906 5405073.03566485)
Elise C'Ouaf,POINT (-185011.22908877188 5878491.3096177215)
Wash'n Dry,POINT (264415.0825428867 6251138.675917804)
Truffaut,POINT (287692.43594910135 6225973.227151414)
Locabox,POINT (549328.9329779777 5740387.125590408)
Volkswagen,POINT (481404.48865218443 5813882.924839558)
Citroën,POINT (480544.56784970453 5813460.13319337)
Matequip,POINT (480678.32934984175 5813457.752594596)
,POINT (482888.5221797969 5813644.132900027)
Boulangerie Mas Bruno,POINT (482949.15790643194 5813571.6842672685)
Viva la Vie,POINT (483043.72381386085 5813492.174828474)
Au Coin de Nice,POINT (483066.7892123531 5813472.776113824)
Action,POINT (161066.3121932913 5416695.666005989)
Bricomarché,POINT (161100.94368687706 5416581.015766525)
Super U,POINT (161286.36856269144 5416289.886290226)
Mon coiffeur Confidentiel,POINT (535702.5629054888 5486829.39567099)
Unique Wellness Minceur Orange,POINT (535672.9630528869 5486816.846985834)
Challeng’hair,POINT (536265.7950011066 5486376.9403489195)
Picard,POINT (260441.25502029384 6253970.185161005)
La tour de l'aubes'pain,POINT (483777.6399844484 6044711.746258731)
Garage Richard,POINT (-510653.09486481594 6168541.594253142)
,POINT (232787.46119634187 5551777.471170883)
ALDI,POINT (-37493.6942652436 6304380.463950293)
Flot des Sens,POINT (-195527.97557973376 5877059.3445599)
MT coiffure,POINT (-195525.41544344716 5877070.714634855)
Lidl,POINT (293206.1577942584 6537117.079037086)
Aldi,POINT (265593.88915869297 6251941.112913351)
Maison Peser,POINT (667727.1784236861 5821031.913096304)
Avia,POINT (-41870.91020915946 5358877.605278279)
La Cave de Villers,POINT (-72518.84533297339 6287558.5317218285)
Peugeot,POINT (145085.58827937994 5539678.70011767)
Graine de Provence,POINT (534934.8257733348 5486575.974506369)
Orange automobile,POINT (535509.1341582864 5486842.657897106)
Belom,POINT (253041.08036277848 6244992.237852663)
boulangerie,POINT (-308287.8415805213 6196363.243872923)
Astoria,POINT (535334.785571806 5486721.220054895)
Local vacant,POINT (535379.3690278687 5486808.579443696)
,POINT (482592.70176496275 5813159.410738573)
,POINT (482499.571878965 5813750.98928339)
Bellucci,POINT (536123.9517059376 5486355.132473943)
Take away,POINT (536118.9979885974 5486328.842110475)
Armurerie Garnier,POINT (536111.9625967792 5486311.9821943855)
,POINT (536116.6046195453 5486322.4362693345)
La Civettre,POINT (299238.7280527586 6524646.575714427)
L'Aura du Bain,POINT (250427.75512886464 6247032.448511639)
Velo & Oxygen,POINT (254378.9959267756 6254067.002742913)
Carré Noir pour Hommes,POINT (254753.05167973915 6253995.455797204)
,POINT (158991.78442676598 5417973.308954158)
,POINT (158922.51030764534 5418009.73513861)
,POINT (158918.92582004177 5417982.269227963)
Le Fournil de la Tanière,POINT (217609.794840556 5608730.000941841)
,POINT (283048.2287176243 6292070.797314942)
Sitis Market,POINT (283076.8934865036 6292055.274026544)
Le Moulin de Survilliers,POINT (283027.9351744527 6292067.821874097)
Survilliers Auto,POINT (283144.0747991974 6291496.930700533)
Survilliers Auto,POINT (283143.7853685213 6291506.774497104)
Petit Casino,POINT (410110.58869057713 5984195.683792616)
Librairie de La Renaissance,POINT (409950.7116378998 5984049.742353335)
Jérôme Pignalet,POINT (409957.9919325977 5984054.252756687)
Pâtisserie et chocolaterie Jérémy Poullin,POINT (409964.9271368741 5984059.25520678)
Carrefour Contact,POINT (353316.83280569647 6513906.956010115)
Aiguilles de pain,POINT (200257.10272749566 5270965.9813116)
Céline Coiffure,POINT (154671.17260645403 5389829.12825121)
Les co'pains de lesco,POINT (-469591.5537198783 6073445.783821662)
Marie Blachère,POINT (152140.35482920235 5414279.176985737)
,POINT (236791.8887894108 5614378.663677542)
Les Opticiens Mutualistes,POINT (263627.8199720476 6250836.499970788)
pure rider mobility,POINT (263624.7364221526 6250855.500917955)
Plantes pour tous,POINT (264145.81182660686 6250293.831963807)
HED Hygiène Entretien Diffusion,POINT (458491.891077203 5795318.520486026)
Pro By Studio,POINT (263637.9389137607 6251300.2672335105)
,POINT (443150.1300684976 5411754.112866982)
,POINT (443155.3951253287 5411724.84562408)
,POINT (443171.9638082587 5411621.780731519)
,POINT (443160.46806007635 5411695.585500009)
Manège à Bijoux,POINT (443084.2598211808 5411596.560347181)
,POINT (443119.32022957323 5411602.242649596)
,POINT (443119.0925588991 5411760.701104886)
,POINT (443078.91012511187 5411754.266922875)
Orange viandes,POINT (537029.8697220134 5484885.314522633)
,POINT (537059.4807065643 5484932.335119388)
Amélie Boulangerie,POINT (357420.3575025454 6562616.31090738)
La bouquetterie,POINT (357508.5225392537 6562643.779675009)
Mag Presse,POINT (357541.962914288 6562616.31090738)
William G,POINT (357572.49785061256 6562590.0013934905)
MT Chaussures,POINT (357500.24036913866 6562648.52173495)
,POINT (534443.5394646169 5486691.671302489)
Itsi-ban,POINT (535599.2584180327 5486780.860740558)
,POINT (535654.5396771607 5486801.506280364)
Pompes Funèbres des Menus,POINT (248782.40852714374 6248985.37252607)
,POINT (249811.3902402914 6246684.335043409)
La Boutique Verte R3P,POINT (249630.729838683 6246020.060451348)
Centre Chopin,POINT (249684.2967776527 6246550.938181276)
Les mariés de Maena,POINT (535127.9873537594 5486673.4147193795)
Artisan cirier,POINT (535071.6596914179 5486645.525803715)
Saint James,POINT (535127.7090550323 5486690.7406346705)
Optic 2000,POINT (535110.7996243809 5486680.022450441)
Etam,POINT (535134.8112385449 5486678.13009505)
Lissac,POINT (535137.5942258148 5486698.356602431)
,POINT (535101.6268983395 5486675.943029059)
La botte rouge,POINT (535086.7880102168 5486668.234013386)
Théâtre O'fées,POINT (535176.1441654766 5486620.49099847)
Carrefour Express,POINT (535161.5835760807 5486652.660890853)
boucherie M.Daniel,POINT (-308283.7784191073 6196344.2299943585)
boucherie Loas,POINT (-308163.5756329487 6196323.4341386715)
Barber King,POINT (-187349.06660856475 6125053.993243644)
Citroën,POINT (-84889.63886806203 5797891.274646396)
,POINT (264274.06682177505 6249144.346562315)
,POINT (251496.56695581815 6255462.229792574)
Intersport,POINT (162497.07571059093 6291764.64756963)
,POINT (782124.2221894899 5395983.891081966)
,POINT (782674.7040520185 5395655.494610632)
Jardin des Saules,POINT (161328.37366567587 6294012.408249494)
Cigusto,POINT (-6227.783915281973 6057548.579333186)
Bonjour,POINT (-52639.211337371344 5917281.087778878)
Epcerie AMA,POINT (212240.40531256588 6090213.787191181)
Franprix,POINT (526542.182195652 5764770.337561681)
Aldi,POINT (243982.6864907283 5294401.425278196)
Bricomarché,POINT (707731.0059375574 5667646.64718086)
,POINT (110243.18191595288 6027854.013355854)
Caisse B,POINT (703256.2744595067 5571237.013989957)
Caisse A,POINT (703279.832998019 5571345.342340646)
Le bosquet fleuri,POINT (535544.1997978863 5486298.860330845)
,POINT (535233.0395572209 5486750.412144322)
Quéguiner Matériaux,POINT (-199300.1817644423 6121463.673847654)
E.Leclerc,POINT (548610.3863974669 6393945.238983881)
Feuilleté,POINT (446880.0083255073 6311185.082067349)
Carrefour Drive,POINT (-40734.68900355569 6310346.470948155)
Bonjour vous,POINT (-40622.87783971138 6310550.079061232)
Maison Cookie,POINT (-40649.199496409514 6310498.3380249115)
,POINT (-40643.87823063136 6310477.330639896)
Pop Korner,POINT (-40627.16751536438 6310421.180333976)
Qipao,POINT (-40561.115656017915 6310415.49678369)
,POINT (-40506.763220783934 6310429.111452154)
SARL Couderc,POINT (225686.5925228446 5601858.711730007)
Auchan,POINT (792124.5354742374 5398921.908791645)
Toyota Grenoble - Jean Lain,POINT (635791.4852634348 5645334.210716547)
Tabac Presse,POINT (110184.69990412694 6430109.376897845)
La Table des Matières,POINT (258007.03171511728 6245917.365585717)
Tchip,POINT (207295.44881619062 6090910.894521686)
Marie Blachère,POINT (720626.5399728075 5391598.203725726)
E.Leclerc Drive,POINT (720452.8193182823 5392184.950110658)
Action,POINT (261288.1069145546 6211556.703516495)
,POINT (-40773.989241634525 6310342.388944296)
Intermarché,POINT (732286.9321515663 6015174.213547022)
Caroll,POINT (-66225.8124539837 6018847.365809669)
Gémo,POINT (260947.58059221797 6211233.855408074)
,POINT (260950.02962101542 6211202.531205106)
Sergent Major,POINT (260952.0333718497 6211171.543935103)
Celio,POINT (260953.03524726682 6211155.376708644)
Nike,POINT (261769.8976707079 6211023.345510232)
,POINT (261737.16974041463 6211014.251600122)
Sébastien Huet,POINT (-64618.17826447866 6294524.413454097)
La pétrie,POINT (535445.3369581129 5486462.062906882)
Super U Drive,POINT (-44716.28309554395 6305951.787576874)
Ferme le Clavel,POINT (182759.34362784727 5402831.603917837)
Laverie livre service,POINT (261164.46182362986 5655489.518406291)
Virage 78,POINT (235635.95515072686 6253910.8934017625)
Diagonale Moto,POINT (235647.74388480184 6253895.676999526)
La ferme de Louveciennes,POINT (236357.03828428933 6251492.522614116)
,POINT (236340.70771498999 6251424.872317842)
Carrefour City,POINT (236352.0511711018 6251474.433975217)
Diamantor,POINT (543700.5645038799 5463256.224915998)
Jardin d'Adam,POINT (213308.44903503286 6095232.454727882)
Accastillage Diffusion,POINT (8106.919124471869 6337176.575198396)
Carrefour Contact,POINT (759470.7951028666 6083214.855181969)
Carrefour Contact,POINT (759524.3516724136 6083234.496598304)
Blanc,POINT (231260.08615518498 5236665.698234941)
Cuisines Habitat,POINT (-171448.8974220159 6322099.676718727)
Le Fournil Ardentais,POINT (203449.43125396207 5900947.72926394)
commerce à reprendre,POINT (536248.173125714 5590420.742949471)
,POINT (476267.39667986747 5529895.366420023)
Top Élec 54,POINT (689176.4071528685 6214610.809968216)
Des Marques & Vous,POINT (688279.1720570746 6214665.565148831)
Sud Express,POINT (535312.9112918652 5486715.356830301)
Restore electronique,POINT (535306.3657058064 5486713.464467608)
Le grand chelem,POINT (535322.8966501892 5486719.451780416)
Naan and co,POINT (535584.6866966878 5486709.71076572)
U,POINT (-194328.93111838234 6175719.7498516785)
La Petite Lunette,POINT (342709.1988264447 6575005.042559754)
Sono Toulouse Communication,POINT (177649.8774516935 5396285.100710576)
AB Auto Villaine,POINT (251917.9446243179 6229605.243022761)
Manéo Opticiens,POINT (456488.250277962 5483033.634506657)
Dessange,POINT (535467.6565160168 5486720.382451151)
Les symphonies de Mélanie,POINT (535370.1740379292 5486727.781286868)
,POINT (535355.3574137046 5486726.214656584)
Petit Bateau,POINT (535334.0174673195 5486692.741570597)
L.L.S. mode,POINT (535322.562691717 5486689.825478071)
,POINT (535438.2347746002 5486712.735442741)
,POINT (535457.5375743037 5486715.248252102)
/ perene,POINT (535266.7470990331 5486898.34394502)
,POINT (534962.0433888338 5487151.277648637)
Jérôme Roland,POINT (534901.1738912681 5487265.818304627)
Richard Coup'homme,POINT (534950.143335268 5487213.030768545)
Woohami,POINT (535021.7885595426 5486912.52144973)
sam glamm,POINT (534951.4680372084 5487190.119552388)
Super U Drive,POINT (-37295.304430826014 6306869.613000631)
Boutique AWS,POINT (-37012.743070699566 6306928.684302495)
Drive Castorama,POINT (-37245.23396318528 6307054.439549834)
Ceuillette de myrtilles de la Ribière,POINT (227127.11176898165 5755347.652614983)
Intermarché Contact,POINT (-447471.04051414796 6096131.143653349)
GPO pneu,POINT (488579.2858205833 5623569.575556153)
Véronique Coiffure,POINT (-198450.55867521107 6148197.1682499)
Artisan Boulanger-Patissier,POINT (-198459.9763041322 6148198.906810196)
Ortholan,POINT (429507.7093986799 5402556.717972809)
,POINT (225301.09572195433 5602164.277980566)
Renault,POINT (157842.22674618836 6456320.070813768)
Hôtel des Ventes Drouot Boulogne,POINT (250169.2601392936 6246218.4360272335)
Ti-Gibus,POINT (250124.0310301843 6245951.86199322)
Galzin,POINT (411203.85740965785 5380230.758197305)
,POINT (-44131.29815589654 5293657.684818626)
Aux délices de Paul Bert,POINT (77245.66332856414 6008066.081176401)
,POINT (539047.7803955212 5483379.743964608)
Maison de la Presse,POINT (460330.31755138276 5393927.680147556)
Biocoop Amphion-Publier,POINT (725872.1457187191 5842761.96721912)
,POINT (-371082.6566440128 6059997.898683259)
Unico,POINT (-67562.20346343885 6044142.903232813)
Patisserie Cabanis,POINT (534986.1106627433 5486633.92354346)
Marionnaud,POINT (534919.2410446238 5486636.591441576)
Alain Afflelou,POINT (534962.2882917135 5486607.601357772)
Candy sweet,POINT (534976.6596379749 5486631.829554204)
Sergent Major,POINT (534923.1706226488 5486620.584064536)
CG Coiffure,POINT (535482.6623833758 5486755.577385561)
Boutique VOG,POINT (535458.9068040405 5486749.372891934)
,POINT (535423.4626781719 5486741.617280807)
Optique Prost-Fin,POINT (535472.0647678522 5486751.8702001115)
,POINT (535434.5389675059 5486743.556182974)
,POINT (535442.9881168571 5486744.936681564)
La Tricherie,POINT (535380.3709032858 5486743.664761506)
Store Plaisance,POINT (257778.53732831503 6246748.023991923)
Aldi,POINT (391165.6983685067 6019468.68746958)
Panier Sympa,POINT (526153.6326449872 5741596.596056647)
Oxysens,POINT (526081.0300730917 5741557.936385116)
Point P,POINT (4204.648486752736 5404172.275826616)
Hase la Boutique,POINT (-54835.29344953839 5586070.689793825)
Cyclhollande,POINT (200006.6047814176 6229394.901719875)
Mercedes-Benz,POINT (698123.4283972426 5812647.815492547)
IP Store,POINT (211865.67051070847 6090437.648425097)
New's Cuir,POINT (38203.63585780184 5874216.145876401)
Le petit magasin,POINT (38201.287016546106 5874209.359561758)
Le 34,POINT (607044.4132484997 5394178.762277694)
,POINT (4784.044172433566 5403847.118706255)
40° SUD,POINT (-136335.63828234226 5474995.7175607355)
Renault,POINT (-100115.34636092113 5922440.092821684)
Maison Al Amir,POINT (542782.9723257006 5737172.421755276)
Chaud le pain,POINT (543824.7223844421 5737215.336316009)
Super U,POINT (460496.8292457114 5394690.750028421)
Artisan Boucher Charcutier,POINT (-239335.7029550376 6208734.546863949)
Poissonerie Patrick Esnault,POINT (-239371.99310903624 6208767.175190883)
Krys,POINT (551017.458548223 5768554.766598899)
,POINT (263304.51477493666 6245261.571626417)
Avy Coiffure,POINT (263323.56153981143 6245305.196082968)
Revolution,POINT (101756.20335013284 6040244.393972844)
Le Jardin des Fleurs,POINT (-66535.9379458666 5597688.465469281)
My Fournil,POINT (262908.45115864335 6244974.535066227)
Salon de Coiffure,POINT (249783.68281903293 6246224.74367224)
Weba,POINT (249773.10746740756 6246230.425629937)
Bureau Vallée,POINT (249847.63586649363 6246164.592943027)
Les Délices du Boucanet,POINT (459876.08950115 5395044.68801328)
Vival,POINT (459884.47185880673 5395034.628843521)
Librairie boutique du musée,POINT (638139.8604397739 5652200.251020376)
Ferme de la Valdange,POINT (760770.4379689081 6164729.838029126)
Citroën Giberville,POINT (-31028.92835868833 6304238.410018038)
Pompes Funèbres Legrand,POINT (-25316.717932995874 6305020.307874658)
Renault Quignette,POINT (-25442.487507918886 6304974.601235402)
Caract'Hair Zen,POINT (-148898.5463840816 5955518.640597702)
PRO&Cie,POINT (-148574.0834642664 5955996.498289094)
Pluchon Automobile,POINT (-148674.89439512882 5955927.997749119)
La Pyramide des Pains,POINT (-148890.55364464264 5955540.366777712)
L'Oolong T ou Café,POINT (534955.3864832844 5486605.895149172)
Beauté & Nature,POINT (534945.8575348724 5486603.832188288)
,POINT (534846.5605490848 5486528.728319718)
Établissement Ferrier,POINT (534975.8024778959 5486610.052094319)
La Cure Gourmande,POINT (460475.9568411876 5393866.211617365)
Maison chanca,POINT (460681.3524336504 5393660.863925325)
Chez Yves et Ludo,POINT (460639.25140223233 5393677.877529528)
Rio Grande La Camarguaise,POINT (460638.06028368085 5393686.845001362)
Lidl,POINT (685274.9120605886 6318527.675922336)
La Ferme Du Bois Du Parc,POINT (-150733.9370719505 6060693.1849404825)
,POINT (-477838.19233716343 6202675.330616575)
Carrefour Express,POINT (-523057.25230535696 6199041.505786631)
Parc et Lumières,POINT (377951.2059987583 5385592.789788083)
,POINT (313761.1593420088 5941483.926318807)
Deshaies Automobiles,POINT (635521.0025836173 5739809.34014587)
Boutique Rebelles,POINT (264074.43376911024 6250857.057542411)
"La Cave, à la Bastille",POINT (263935.1396902806 6250368.376116823)
La Boulangerie de Popincourt,POINT (264610.16995050194 6250811.39103742)
Rapid'Market,POINT (18159.52626920856 6117176.979910721)
Garage Thomas,POINT (-48184.1593705997 6330986.074948116)
Ecouter Voir,POINT (-22038.09033912461 5938748.1513182605)
Coiffure Esthétique,POINT (247783.4558686958 5642697.12869805)
Laverie,POINT (-22043.974226890467 5938995.294107889)
,POINT (265002.04795394145 6250705.643314228)
ConfigoMatic Paris,POINT (264786.6113434092 6250882.437329292)
L'ex fumeur,POINT (264444.38183286355 6250295.743777965)
Dyneff,POINT (419470.23128893384 5383935.319286269)
Caveau des Sablons,POINT (471423.4049964742 5401291.101183169)
,POINT (143242.95965093366 5378166.562072574)
Kia,POINT (190281.0475833701 5917277.431441263)
Villaverde,POINT (190207.89410520776 5917167.284816108)
Flauraud,POINT (271701.17762286426 5607690.47477967)
Sport 2000,POINT (271730.55902447365 5607672.96601262)
,POINT (305295.8153301951 6366650.011316176)
Le Friand II,POINT (460727.338515297 5393783.50691433)
U Express,POINT (460672.4023465906 5393750.477448215)
Arnoult Assurances,POINT (378975.21729654144 6281898.658337562)
Total Access - Relais du Val de Loire,POINT (117920.66980562023 6073245.282675263)
Le Saint-Marcel,POINT (544454.7461745357 5905498.232720153)
Salon Gérard,POINT (544258.5121761654 5905572.515444843)
La Farinée,POINT (544247.792109202 5905546.50829227)
La Clef des Champs,POINT (544381.1305952742 5905496.769828185)
Boulangerie Flanine,POINT (118478.25800305464 6073423.411778714)
Boucherie Ouvrard,POINT (118458.0423835266 6073423.577497336)
Eternail Spa,POINT (118434.0752971588 6073421.605445932)
Dagobert,POINT (257161.0369809357 6248996.097336518)
Versade Fleurs,POINT (257398.03617683458 6249152.606683103)
Bonheur de Mode,POINT (257108.72795221192 6248976.897567168)
Alimentation Générale,POINT (257174.39531983086 6249028.610172925)
Mori Yoshida,POINT (257395.2309256666 6249112.17651651)
Il Russo,POINT (257127.1735918364 6249020.304332406)
Alimentation de Breteuil,POINT (257392.05832017897 6249088.307584063)
Gourmet,POINT (257399.3942746223 6249165.4970111)
Fair-Play Breteuil,POINT (257290.55720847362 6249181.567657465)
Rouxel Joailliers,POINT (257291.81511871962 6249197.807499503)
Mes Chaussettes Rouges,POINT (257079.29507884622 6248966.138948919)
Audition Santé,POINT (378918.7226549639 6282092.255895534)
Presse de l'Isle 02,POINT (378954.76790608274 6281984.8087028535)
Pressing Numéro 7,POINT (378963.1836595867 6281953.47656412)
Boucherie Destri Bernard,POINT (378907.5795739355 6282145.020490776)
Prélude,POINT (378979.0355550756 6281884.648160166)
La Fournée des Fables,POINT (378909.59445671877 6282135.91785281)
La Fontaine des Pains,POINT (378982.5532509847 6281871.7588174855)
Ludo'vitres,POINT (378914.114028045 6282117.729588805)
Optique Charlot,POINT (378941.9772965906 6282030.609875774)
Bouré Jean-Pierre,POINT (378890.16920557537 6282209.792156879)
Havas Voyages,POINT (378958.3301297881 6281975.825112977)
L'Atelier,POINT (378985.403029949 6281861.263952208)
Cotton Men,POINT (378887.0077320368 6282225.484161229)
Ambiance et Styles,POINT (378946.4078123241 6282014.697463849)
Coiffure Cybèle,POINT (378892.50691488205 6282196.851370036)
Lefevre,POINT (378997.18063207495 6282205.138905787)
Excell Coiffure,POINT (378901.12304346944 6282189.4469392365)
Côté Zic,POINT (378926.5706790648 6282186.101361397)
Kinjy's Coiffure,POINT (378755.9178996787 6282219.0816840725)
De Brauwer Roland,POINT (378931.93627852097 6282263.355677099)
Maison Chopin,POINT (378940.24071253417 6282262.319727545)
Krantz Sandrine,POINT (378981.74061870197 6282256.0700673545)
Lienhard Joel,POINT (378992.6276649015 6282251.739463142)
Tchip Coiffure,POINT (378911.019346201 6282262.302744765)
Somedics RD,POINT (379124.1293793756 6282060.006310065)
"De Cruyenaere, fuel et combustibles",POINT (379112.4408328423 6281876.038280857)
Février et Cie,POINT (379025.84540095425 6282033.259116959)
Des Garages,POINT (379046.1500760749 6282162.580458148)
Chauvin,POINT (379038.12394078873 6282159.200925806)
,POINT (378999.6741886687 6282153.715557094)
Jocelyne Coiffure,POINT (378833.6300362015 6282080.351215892)
Techni'Baie,POINT (378811.956131344 6282091.797369759)
Espace musique Fréderic Brest,POINT (378798.620056347 6282082.253246318)
Pressing Castel,POINT (378881.0966670757 6281969.558682598)
Biscuiterie de Saint-Aignan,POINT (152804.81410771204 5985992.204362389)
Carrosserie Desson,POINT (378732.4962788158 6282203.899171439)
Douanes Château-Thierry,POINT (378796.5717777164 6282050.105593157)
"Cofely, Chauffage",POINT (378412.8868887992 6281788.938042703)
LM Retouches,POINT (377847.0833129442 6281890.388084577)
"Lez' Art du Corps, Tatouage",POINT (378875.14107431826 6282114.791618928)
Cotonal Électricité Générale,POINT (378819.0249190094 6282066.612455249)
Antoine Cosson Architectures,POINT (378418.2970160518 6281767.014532914)
Traducteur Emilie Pestiaux,POINT (377948.58442464954 6281729.46789505)
Association Festival Jean de la Fontaine,POINT (378405.75130943937 6281782.07738751)
Frédéric Barbier,POINT (378819.68170400505 6282047.456346687)
Desson Accessoires Automobile,POINT (378811.09897126496 6282036.893333777)
Le Relais Nord Est Île France,POINT (378404.437739448 6281800.41776534)
Aisne Plastiques Industrie,POINT (378413.0538680354 6281759.45764304)
Institut de Beauté Ludivine,POINT (378863.25215270155 6282103.5831883205)
Association Boutiques de Château-Thierry,POINT (378417.50664766715 6281775.997900689)
H & C Systèmes surveillance,POINT (378892.3065397986 6282124.047076623)
Tout pour l'Auto Autoradios,POINT (378809.1174843288 6282058.681685175)
Les Pains qui dansent,POINT (249419.59016049537 6274730.776009979)
Proxi Super,POINT (249405.51937685907 6274684.115113683)
Pourcoiff Hair,POINT (249382.92152022806 6274765.305239097)
Intermarché,POINT (-480665.9255515071 6203184.310463523)
Le Liseur,POINT (378977.03180424136 6281892.001377645)
Lidl,POINT (628875.4616423639 6311896.301769818)
Franprix,POINT (636056.2823552913 5650814.610168053)
Monoprix,POINT (254244.72235698075 6249141.391098719)
Le Cabro d'Or,POINT (637327.6242885259 5353180.945051877)
